Train Size,Test Size,Train Score R_square,Test Score R_square
139,129,0.9228447500568955,0.8358523287490521
268,129,0.9091643677314664,0.8531056213544976
397,129,0.9048359622556814,0.8516772167299426
526,129,0.902029965290452,0.8634789200624682
655,129,0.8984393644491195,0.8197741614460339
784,129,0.8916515596307475,0.8139734976719544
913,129,0.8864871649234054,0.8128556922133329
1042,129,0.8821637124094285,0.8552781770058641
1171,129,0.8798776485894855,0.8278981460036978
1300,129,0.8760057496926993,0.8415231542160091
